"","Mercadoria","Vencimento","Preço de ajuste anterior","Preço de ajuste Atual","Variação","Valor do ajuste por contrato (R$)"
"1","AFS   - RANDE DA AFRICA DO SUL (TIPO A)","F20","14.321,400","14.267,100","-54,300","154,30"
"2","","G20","14.386,900","14.330,400","-56,500","160,55"
"3","","H20","14.438,000","14.382,200","-55,800","158,57"
"4","ARB   - Peso Argertino","F20","66,5580","66,9480","0,3900","58,50"
"5","","G20","63,1280","64,0580","0,9300","139,50"
"6","","H20","60,6240","61,7920","1,1680","175,20"
"7","ARS   - Peso Argertino","F20","61.057,8000","60.646,3000","-411,5000","246.141,60"
"8","","G20","64.450,8000","63.456,3000","-994,5000","594.867,13"
"9","","H20","67.182,0000","65.854,4000","-1.327,6000","794.113,23"
"10","AUD   - Dólar comercial australiano","F20","2.786,4000","2.796,3650","9,9650","597,90"
"11","","G20","2.791,8070","2.801,7520","9,9450","596,70"
"12","","H20","2.796,4050","2.806,5150","10,1100","606,60"
"13","AUS   - DÓLAR AUSTRALIANO (TIPO B)","F20","685,645","688,735","3,090","125,48"
"14","","G20","686,173","689,260","3,087","125,36"
"15","","H20","686,600","689,689","3,089","125,44"
"16","B3SAO - Contrato Futuro de B3SA3","F20","48,73","48,72","-0,01","0,01"
"17","","G20","48,88","48,88","0,00","0,00"
"18","BGI   - Boi gordo","Z19","209,90","205,55","-4,35","1.435,50"
"19","","F20","203,20","200,40","-2,80","924,00"
"20","","G20","202,25","199,45","-2,80","924,00"
"21","","H20","198,50","195,75","-2,75","907,50"
"22","","J20","193,55","190,90","-2,65","874,50"
"23","","K20","192,65","190,00","-2,65","874,50"
"24","","M20","194,45","191,75","-2,70","891,00"
"25","","N20","205,10","202,40","-2,70","891,00"
"26","","Q20","204,30","201,60","-2,70","891,00"
"27","","U20","207,60","204,85","-2,75","907,50"
"28","","V20","204,10","201,40","-2,70","891,00"
"29","","X20","214,10","211,25","-2,85","940,50"
"30","","Z20","214,35","211,50","-2,85","940,50"
"31","BRI   - IBrX-50","G20","18.801","18.932","131","1.310,00"
"32","","J20","18.921","19.052","131","1.310,00"
"33","CAD   - Dólar comercial canadense","F20","3.101,2820","3.094,8170","-6,4650","387,90"
"34","","G20","3.105,2230","3.098,7340","-6,4890","389,34"
"35","","H20","3.108,6060","3.102,1980","-6,4080","384,48"
"36","CAN   - DÓLAR CANADENSE (TIPO A)","F20","1.310,397","1.311,918","1,521","47,13"
"37","","G20","1.310,264","1.311,785","1,521","47,13"
"38","","H20","1.310,179","1.311,729","1,550","48,02"
"39","CCM   - Milho","F20","47,92","48,13","0,21","94,50"
"40","","H20","47,86","48,27","0,41","184,50"
"41","","K20","44,83","45,21","0,38","171,00"
"42","","N20","40,97","41,30","0,33","148,50"
"43","","U20","40,23","40,60","0,37","166,50"
"44","","X20","41,08","41,46","0,38","171,00"
"45","CCROO - Contrato Futuro de CCRO3","F20","18,27","19,06","0,79","0,79"
"46","","G20","18,33","19,13","0,80","0,80"
"47","CHF   - FRANCO SUÍÇO","F20","4.151,5070","4.160,4120","8,9050","445,25"
"48","","G20","4.166,1510","4.175,0950","8,9440","447,20"
"49","","H20","4.178,1180","4.187,3270","9,2090","460,45"
"50","CHL   - PESO CHILENO (TIPO A)","F20","752.130,000","753.090,000","960,000","51,85"
"51","","G20","751.620,400","752.485,000","864,600","46,69"
"52","","H20","751.261,600","752.180,000","918,400","49,60"
"53","CIELO - Contrato Futuro de CIEL3","F20","8,73","8,53","-0,20","0,20"
"54","","G20","8,73","8,53","-0,20","0,20"
"55","CLP   - PESO CHILENO","F20","5.403,2000","5.391,3000","-11,9000","297,50"
"56","","G20","5.413,2000","5.401,9000","-11,3000","282,50"
"57","","H20","5.421,3000","5.409,9000","-11,4000","285,00"
"58","CMIGP - Contrato Futuro de CMIG4","F20","13,62","13,74","0,12","0,12"
"59","","G20","13,66","13,78","0,12","0,12"
"60","CNH   - IUAN CHINÊS (TIPO A)","F20","7.005,200","7.002,600","-2,600","15,07"
"61","","G20","7.011,876","7.009,722","-2,154","12,49"
"62","","H20","7.017,671","7.015,510","-2,161","12,53"
"63","CNY   - IUAN","F20","5.800,8300","5.795,1800","-5,6500","197,75"
"64","","G20","5.802,6420","5.796,9820","-5,6600","198,10"
"65","","H20","5.804,1980","5.798,7590","-5,4390","190,36"
"66","DAP   - Cupom de DI x IPCA","F20","100.572,44","100.562,61","-9,83","12,94"
"67","","G20","100.354,20","100.358,62","4,42","5,81"
"68","","H20","100.459,55","100.463,71","4,16","5,47"
"69","","K20","100.462,49","100.463,42","0,93","1,22"
"70","","Q20","100.155,47","100.182,64","27,17","35,76"
"71","","F21","99.712,21","99.703,08","-9,13","12,01"
"72","","K21","99.107,59","99.008,53","-99,06","130,40"
"73","","F22","97.642,55","97.469,20","-173,35","228,21"
"74","","Q22","95.796,13","95.549,88","-246,25","324,18"
"75","","K23","93.596,80","93.222,39","-374,41","492,90"
"76","","Q24","89.530,25","88.953,15","-577,10","759,73"
"77","","Q26","82.909,18","82.085,52","-823,66","1.084,32"
"78","","Q28","76.188,84","75.266,29","-922,55","1.214,51"
"79","","Q30","69.902,06","69.142,58","-759,48","999,83"
"80","","K35","58.104,10","57.270,88","-833,22","1.096,91"
"81","DCO   - Cupom Cambial em OC1","F20","100.087,61","99.994,94","-92,67","187,87"
"82","","G20","99.828,19","99.734,93","-93,26","189,07"
"83","","H20","99.629,33","99.539,63","-89,70","181,85"
"84","","J20","99.437,65","99.345,64","-92,01","186,54"
"85","","K20","99.207,65","99.121,10","-86,55","175,47"
"86","","M20","99.031,10","98.943,37","-87,73","177,86"
"87","","N20","98.821,18","98.743,08","-78,10","158,33"
"88","","Q20","98.616,03","98.539,64","-76,39","154,87"
"89","","U20","98.434,07","98.370,76","-63,31","128,35"
"90","","V20","98.253,38","98.176,35","-77,03","156,17"
"91","","X20","98.026,18","97.970,91","-55,27","112,05"
"92","","Z20","97.864,74","97.778,79","-85,95","174,25"
"93","","F21","97.608,07","97.556,96","-51,11","103,62"
"94","","J21","97.101,91","97.053,95","-47,96","97,23"
"95","","N21","96.553,25","96.516,82","-36,43","73,85"
"96","","V21","95.989,67","95.934,30","-55,37","112,25"
"97","","F22","95.410,52","95.394,11","-16,41","33,26"
"98","","J22","94.901,02","94.878,61","-22,41","45,43"
"99","","N22","94.410,26","94.351,37","-58,89","119,39"
"100","","V22","93.795,80","93.738,19","-57,61","116,79"
"101","","F23","93.198,20","93.083,15","-115,05","233,25"
"102","","J23","92.599,54","92.586,88","-12,66","25,66"
"103","","N23","92.060,60","92.008,92","-51,68","104,77"
"104","","V23","91.399,72","91.397,58","-2,14","4,33"
"105","","F24","90.725,77","90.674,96","-50,81","103,01"
"106","","J24","90.162,56","90.091,33","-71,23","144,41"
"107","","N24","89.486,18","89.464,64","-21,54","43,67"
"108","","V24","88.874,54","88.790,67","-83,87","170,03"
"109","","F25","88.138,51","87.986,28","-152,23","308,63"
"110","","N25","86.890,22","86.753,01","-137,21","278,17"
"111","","F26","85.611,73","85.444,36","-167,37","339,32"
"112","","N26","84.268,11","84.111,95","-156,16","316,59"
"113","","F27","82.829,84","82.684,70","-145,14","294,25"
"114","","F28","80.148,28","79.970,52","-177,76","360,39"
"115","","F29","77.472,00","77.254,18","-217,82","441,60"
"116","","F30","75.106,60","74.785,35","-321,25","651,30"
"117","","F31","72.914,10","72.598,44","-315,66","639,96"
"118","DDI   - Cupom cambial","F20","100.087,61","99.994,94","-92,67","187,87"
"119","","G20","99.828,19","99.734,93","-93,26","189,07"
"120","","H20","99.629,33","99.539,63","-89,70","181,85"
"121","","J20","99.437,65","99.345,64","-92,01","186,54"
"122","","K20","99.207,65","99.121,10","-86,55","175,47"
"123","","M20","99.031,10","98.943,37","-87,73","177,86"
"124","","N20","98.821,18","98.743,08","-78,10","158,33"
"125","","Q20","98.616,03","98.539,64","-76,39","154,87"
"126","","U20","98.434,07","98.370,76","-63,31","128,35"
"127","","V20","98.253,38","98.176,35","-77,03","156,17"
"128","","X20","98.026,18","97.970,91","-55,27","112,05"
"129","","Z20","97.864,74","97.778,79","-85,95","174,25"
"130","","F21","97.608,07","97.556,96","-51,11","103,62"
"131","","J21","97.101,91","97.053,95","-47,96","97,23"
"132","","N21","96.553,25","96.516,82","-36,43","73,85"
"133","","V21","95.989,67","95.934,30","-55,37","112,25"
"134","","F22","95.410,52","95.394,11","-16,41","33,26"
"135","","J22","94.901,02","94.878,61","-22,41","45,43"
"136","","N22","94.410,26","94.351,37","-58,89","119,39"
